9	10.58	2.96	3.81	14.5161
8	10.41	3.15	3.63	13.1769
7	10.17	3.41	3.38	11.4244
6	9.9	3.67	3.115	9.703225
5	9.65	3.97	2.84	8.0656
4	9.36	4.28	2.54	6.4516
3	8.99	4.6	2.195	4.818025
2	8.58	5.06	1.76	3.0976
1	7.97	5.64	1.165	1.357225

